reference_number,category,name,control,,hazard_control_method,risk
79,Health Hazards,Exposure to paint fumes,"Check toxicity standards and levels of all paint. Obtain MSD sheets of paint. Point can away from you. Avoid excessive breathing of
paint fumes.",,Minimise,
75,Health Hazards,Exposure to Sun,Carry out regular health checks. Wear a hat. Wear light shirts on hot days. Wear sun block.,,Minimise,
86,Health Hazards,Eye Strain,Carry out regular eye checks. Take regular breaks when doing computer work. Wear glasses if required.,,Minimise,
35,Health Hazards,Fires,"Do not smoke when refuelling.
Move away from refuelling area before starting saw.",,Eliminate,
2,Health Hazards,"Heat, dust and noise","Wear a face mask and ear muffs.
Have regular breaks.",,Minimise,
39,Health Hazards,Hydraulic oil,Do not work on live or pressurised hydraulic systems with out full protective equipment.,,Minimise,
15,Health Hazards,Hypothermia/chills,"Polypropylene clothing (thermal underwear) is excellent for cold, wet weather.
If necessary also wear warm hats, rainwear or chaps.
Put a hat and warm clothes on when you stop for a break.
Bring spare clothing even on fine days. The weather can turn bad very quickly.",,Minimise,
1,Health Hazards,Ineffective personal protective equipment (PPE),"Do not perform felling tasks if protective equipment is ineffective
Clean dirty hi-viz garments and oil soaked protective leg wear
Replace any soiled or any worn, damaged or expired protective equipment
Routinely check the condition of your protective equipment",,Eliminate,
371,Health Hazards,Influenza Pandemic,Follow HSE management System (manual) recommendations.,,Minimise,
17,Health Hazards,Lack of hygiene/infection,Clean and dress any cuts or scratches received on the job as soon as possible and keep them covered.Make sure the first aid kit is kept fully stocked .Carry water and soap on the job to wash hands before smokos.Bath or shower every night.Eat a well balanced diet to keep your body healthy.Wear clean clothes against the skin every day.,,Minimise,
9,Health Hazards,Lack of rest / sleep,"Build short frequent rest breaks into your work routine.
Take at least two evenly spaced 30 minute rest breaks during the working day.",,Minimise,
23,Health Hazards,Noise,"Use appropriate mufflers on all machinery.
Supply earmuffs to operators who are operating outside of an appropriately sound proofed environment.
Monitor hearing in annual health checks. Wear hearing protection to the required grade. Test the noise levels in your environment.
Carry out regular health checks.",,Minimise,
7,Health Hazards,Oil entering body under pressure,"Keep hands or body in general away from leaking high pressure hoses.
Always release pressure in hoses prior to undoing fittings.
Wear protective eyewear where appropriate.Take extra care when handling and filling power equipment.Avoid spillage.Fill in a well ventilated area.Wear mask if required.Use hand cleaner if needed.",,Eliminate,
4,Health Hazards,Petrol and fumes,Ensure that petrol and oil(s) are stored in appropriate (NZS) containers and in the correct storage facilities.,,Minimise,
12,Health Hazards,Poor Nutrition,"Most accidents occur between 9am and 11am when you are tired and running low on energy so stop and have a smoko break.Start each day with a high carbohydrate breakfast like porridge, cereal, toast, bananas, pasta or potatoes.Eat high protein foods like lean meat, chicken, eggs, milk and cheese at night.Eat at the start of a break and rest to allow digestion.Always eat a high carbohydrate snack straight after work.Build short frequent rest breaks into your work routine.
Take at least two evenly spaced 30 minute rest breaks during the working day.",,Minimise,
59,Health Hazards,Rest,"Build short frequent rest breaks into your work routine.
Take at least two evenly spaced 30 minute rest breaks during the working day.Use of correct techniques.Good chainsaws and tool maintenance.Comfortable seating adjusted for operator.Regular medical examinations.",,Minimise,
16,Health Hazards,RSI (OOS),Use pre-work warm up and stretching techniques throughout the day.,,Minimise,
570,Health Hazards,Spider Bite (White Tail),"White Tail's do not nest in webs but prefer dark spaces. Where the Spider is prevalent ensure that boots and other clothing is
checked and cleared. The bite produces a water blister and bruising and as it takes a long time to heal can result in infections
setting in.",,Eliminate,
36,Health Hazards,Vibration injuries,Ensure the vibration damping mounts on the saw are in good condition.,,Minimise,
564,Helicopter,Spinning Rotor-blades,"Approach or leave a helicopter only when instructed by the pilot.Approach or leave from the front or side – NEVER FROM THE BACK.If on a slope, approach or leave only from the downhill side.Do not approach if the rotors are running down or starting up.Approach or leave in a slight crouch to increase rotor clearance.Hold any long items (shovels) level, below the waist.If it is unsafe to walk away from the helicopter remain crouched beside the machine until it has left.",,Eliminate,
565,Helicopter,Noise,Wear approved hearing protection (Grade 4 or better).Wear appropriate eye protection.Wear a hard hat fitted with a chin strap.Do not wear loose or unfastened clothing.Remove or secure all loose items around the helipad.Get clear of down-wash zone before a hovering helicopter powers up to lift cargo.,,Minimise,
566,Helicopter,Dust and/or loose material,"Check for overhead hazards such as sailors or wires, before instructing a helicopter to approach.",,Minimise,
567,Helicopter,Static electricity,Let the helicopter or hanging strop earth itself by touching the ground before you touch the machine or strop.,,Eliminate,
568,Helicopter,Heat,Keep clear of the motor exhaust by avoiding the prohibited zone at the rear of the helicopter.,,Eliminate,
569,Helicopter,Refuelling,An appropriate area shall be allocated for refuelling. The pilot shall be responsible for safety procedures during refuelling.,,Isolate,
117,In Forest Driving,One way systems,"Company to ensure all forest users know one way system. Take alternative route. If in doubt radio for help. Always make sure you
are going the right way on a one way system.",,Eliminate,
104,In Forest Driving,Other operations e.g. roadside load out,Always watch out and respect other forest users e.g. Loaders.,,Minimise,
54,In Forest Driving,Other vehicles and road users,"Observe speed requirements as detailed in 'critical rules' or to conditions, whichever is least.
Stay alert and be prepared for other oncoming traffic that has not called up.
Use radio contact but do not rely on it.",,Minimise,
106,In Forest Driving,Other vehicles without radios,Always watch out and respect other forest users e.g. Members of the public.,,Eliminate,
119,In Forest Driving,Poor roads,"Recognise area of loose metal e.g. corners, windrows and drive accordingly.",,Minimise,
96,In Forest Driving,Poor visibility/dust,Always drive with headlights on.,,Minimise,
111,In Forest Driving,Roads or tracks with poor traction,Walk.,,Eliminate,
107,In Forest Driving,Vehicle roadworthiness,"Ensure vehicle is well maintained i.e. tires, brakes, lights.",,Eliminate,
110,In Forest Driving,Wet greasy tracks,Do not drive on wet greasy tracks if there is a possibility that the vehicle may lose control.,,Eliminate,
97,In Forest Driving,Windy Roads,"Never speed, drive to conditions so that vehicle can stop in half the visible distance ahead.",,Eliminate,
52,Inattention & Fatigue,Inattention & Fatigue,Have food and drink plenty of fluid often during working hours - have short & frequent breaks with exercise,,Minimise,
555,"Loaders, Loading, Transporter",Excavators and truck mounted,"The swing area is the danger zone, avoid entering this area. If you need to enter this area always ensure that eye contact has been
made with the operator before moving in. Where fitted, ensure stabiliser legs are used correctly and machine is stable before lifting.",,Eliminate,
557,"Loaders, Loading, Transporter",Loading and securing loads,Poorly loaded and insecure loads are a hazard to the transporter operator and all other road users. Transporter to be loaded onlevel ground. Only used trained operator to load or unload a transporter. Ensure that all machines are evenly loaded off both sides.Steel tracked machines should not be loaded directly onto steel decks. Ensure that the appropriate certification has been obtainedbefore transporting any over width machinery. ALL loads are to be secured in accordance with the truck loading code or to an equalor better standard.,,Eliminate,
561,"Loaders, Loading, Transporter",Loading logs,"All passengers should stay in the truck cab, or other safe place clear of the skids approved by the contactor or person in charge. Noperson to be on the other side of the truck during loading. All logs to be correctly trimmed before being loaded. Don’t stack logs thatare too short for the stanchions or above the stanchions or stanchion extension. No driver is secure to any part of the load until allloading of the truck and trailer has been completed. Remember, all loads are to be loaded as required by the truck driver. It is theresponsibility of the truck driver’s to ensure that their truck and/or trailer is correctly loaded and correctly secured.",,Isolate,
554,"Loaders, Loading, Transporter",Operating loaders,"All loader operators should either hold the appropriate license or be under training/supervision. Do not operate any loader beyondyour capabilities and experience. Operate the loader in conjunction with the conditions of the loading area. Do not operate anyloader beyond the machines capabilities. Ensure all persons are well clear of the logs you are going to move and the area you willbe working in before proceeding. Ensure windows and mirrors are kept clean. Park loader of stable ground, clear off any area usedby other vehicles with all attachments lowered to the ground. Report and machine defects or concerns to the person in charge assoon as practicably possible.",,Eliminate,
558,"Loaders, Loading, Transporter",Over loading,"Over loading is not be permitted, unless a permit is obtained. Ensure the transporter is of sufficient size and has sufficient axles for
the load to be transported. Check all bridge structures etc, to ensure that they can safely carry the total weight.",,Eliminate,
556,"Loaders, Loading, Transporter",Shifting machinery,"Soft roads, tight corners, narrow roads, steep gradients etc, can be hazardous for the transporter operators and other road users.Check the route well before shifting. Be aware of height limits and especially bridges etc that may be below height limits. Only usetrained operators. Notify the forest owner of any hazards or potential hazards that may or will create problems. When necessary usea pilot vehicle. Ensure sufficient signs e.g. oversize on transporter and pilot vehicle and close to the road if considered necessary. Ifnecessary, inform other road users e.g. by radio. Drive to the road conditions and do not exceed speed restrictions.",,Eliminate,
559,"Loaders, Loading, Transporter",Trucks entering skid area,"Trucks driving onto a skid at random create additional hazards for machine operators and workers. Ensure “STOP, PROCEED
ONLY WHEN INSTRUCTED” signs are erected at the edge of the skid. Ensure all machines and workers are clear of the loading
area before signalling to the truck to enter the skid. Ensure loading area is clear of debris and on level ground.",,Isolate,
560,"Loaders, Loading, Transporter",Unloading trailers,"In instances where the driver has to climb onto the trailer while the loader moves in is extremely hazardous. Inform the driver to
have the trailer modified so as to eliminate the hazard. Be alert and use extreme caution. No person shall go under a fully
suspended trailer. The trailer must be lowered to the ground and the lifted no higher than 30 cm, from the ground. Logs loaded
incorrectly create hazards to all road users.",,Eliminate,
40,Loading Hazards,Rocks falling off the truck,All drivers to be inside their cab or standing away from the truck in clear view of the loader driver.,,Isolate,
352,Logmaking/Processing Hazards,Other employees/machines in the vicinity,"Always communicate with other crews as to your intentions and movements.
Obey all road closed and tree felling signs, if in doubt contact the crew on the radio.
Never drive through a road closed sign without first getting the OK from the faller/loader driver.",,Isolate,
38,Logging Hazards,Other workers,"Apply the two tree length rule and keep well clear of all falling trees and machinery.
If being supervised or trained, ensure other worker is aware of your proposed actions, escape route and safe position.
If working together, only one person cutting at a time.
Only one chainsaw can operate while felling cuts are made.",,Eliminate,
503,Logmaking/Processing Hazards,Butts in the air,"These can roll dangerously when cut. Hold butt up with loader of bell. Cut head first until butt drops. Use a machine to roll the log
over. Make sure the skids are level.",,Eliminate,
492,Logmaking/Processing Hazards,Conditions underfoot,"Even on skids the surface can become slippery or covered with sticks. Wear good boots. Ensure you have a good stance before
you begin to cut up a log. Avoid walking on logs. Have skids swept regularly.",,Minimise,
489,Logmaking/Processing Hazards,Cramped working conditions,"Conditions on skid sites are sometimes difficult to start with and always become more difficult as the skid gets filled up and there is
less space. Ensure skid site is large enough before commencing. Notify supervisor if conditions deteriorate. Contact dispatch for
extra trucks. Stop or move skids before conditions become too cramped. Try to ensure regular trucking to avoid getting to this stage.
Where possible process on separate skids.",,Minimise,
493,Logmaking/Processing Hazards,Excavators,"The swing is the danger zone. Do not enter this area. If you need to enter this area always ensure that eye or radio contact has
been made with the operator before moving into the area or approaching the machine. Only enter the work area when the operator
has given consent. Be aware that the right hand side of the machine is the blind side for the operator.",,Isolate,
496,Logmaking/Processing Hazards,Fumes from marking/branding paint,"Use a crayon. Wear a mask if necessary. Do a little regularly other than a lot at once. Spray down wind not into the wind. Check the
toxicity of the paint (MSDS) you are using and use another brand if necessary.",,Minimise,
504,Logmaking/Processing Hazards,Hazards when clearing bearers and skids,"Skidder and loader operators need to have good communication. Skidder and loader operators are to work to a pattern e.g. skiddies
should work from the butt end and work towards the head end to enable the loader to clear logs away from one end. Loader
operators and skidders should be aware of log movements on the bearers and kids. Loader operators and skidders must be aware
of each others movements.",,Isolate,
500,Logmaking/Processing Hazards,Jammed saws,"Don’t wrench the saw. Use a wedge if possible. Use another saw to cut it out, or the loader.",,Eliminate,
498,Logmaking/Processing Hazards,Log movement,"Learn to read compression and tension in logs. Always have a good stance before cutting. Make sure you can always step out of
the way quickly if a log does move. Get the machine to spread logs out for easier access. Be aware of logs moving after being cut.
Be aware of where your workmates are. Make sure they are not cutting the same log as you. Be aware of machines in close
proximity, which could clip logs.",,Minimise,
502,Logmaking/Processing Hazards,Log stacks,"Stacks can be unstable and likely to move at any time injuring people walking on or in front of them. Keep logs to be trimmed on the
ground – stack once trimmed. Stack as tidily as possible. Be aware and take care. Minimise walking on stacks.",,Minimise,
495,Logmaking/Processing Hazards,Loggers tape,"The sharp sides of the tape plus the fact that it retracts are hazardous. Don’t have it wound up too tight. Keep it clean. Wear gloves.
Be aware it is sharp and handle with care. Do not drive the hook end of the tape too far into the log.",,Minimise,
497,Logmaking/Processing Hazards,Machine/worker interaction,"Have adequate training. Establish simple, clear signals. Be aware of each other. Where possible process on separate skids.
Nominate a safety zone of the skid for sharpening and refuelling.",,Isolate,
491,Logmaking/Processing Hazards,Rain and cold,"The skid is the most exposed place for cold, rain and wind. Dress for the conditions. Keep a dry change of clothes available. Have a
dry place for smoko.",,Minimise,
499,Logmaking/Processing Hazards,Stems laid close together,"This can cause logs to jam saws and legs. Ensure that the runners (bearers) are set up and kept level so as to prevent logs from
sliding. Don’t place logs too close together. Try to leave a walking width between logs. Rather than choke bearers move to another
set if possible.",,Eliminate,
490,Logmaking/Processing Hazards,Sun,"The skid is the most exposed place to work in an operation and the sun is a very real hazard from melanoma. Be aware that it is a
problem, use sunscreen, and wear adequate clothing to cover exposed skin and good quality sunglasses.",,Minimise,
501,Logmaking/Processing Hazards,Trimming on the skids,Work on separate logs. Stay out of reach of each other.,,Isolate,
494,Logmaking/Processing Hazards,Unstable trees around skids and road edges,"Any tree that is obviously a hazard to the operation must be felled before the operation continues. Do not rest or walk under a tree
that might fall on you.",,Eliminate,
55,Machine Maintenance,Climbing into Cabs,"Maintain 3 points of contact, use handrails and steps, be aware of slippery surfaces (especially in the rain).Face the machine when climbing in or out.Be aware of the state of the ladder e.g. oil and ice.Don’t jump from machine.Don’t climb off moving machine.Don’t use the steering wheel or control lever to enter/exit the cab.Cab should be aligned with undercarriage centreline when entering/exiting cab.",,Eliminate,
29,Machine Maintenance,Daily machine maintenance by operator,Turn machine off - ISOLATE machine.Lower raised equipment.Check park brakes on.Park machines in clear flat area away from working operation.Display caution when using any air/powered operational equipment.Use safety glasses and gloves.,,Eliminate,
50,Machine Maintenance,Equipment failure,"Always lower blade and arms when machine is stopped.
Always prop arm or blade when working underneath.
Regularly maintain your machine.",,Eliminate,
30,Machine Maintenance,"Felling, processing heads","Machine must be turned off - ISOLATE machine.Take key out or use Hold cards.Lock pin on the head in place.Lower all equipment.All brakes applied.Close all arms unless required to open for maintenance.When repositioning the head, correct start-up procedures are to be used.Be aware of location of workmates - DON'T activate or access any machine without first communicating with other workers involved.",,Eliminate,
42,Machine Maintenance,Heavy lifting,Use lifting equipment.Use blocks in safe position.Lower all raised equipment.Check park brakes are on.Park machines in clear flat area away from working operation.,,Eliminate,
31,Machine Maintenance,Lack of experience / technical knowledge,"If outside competency level, contact foreman for instructions.",,Eliminate,
44,Machine Maintenance,Maintenance personnel,"Try to use the same personnel to help on maintenance (knowledge of others methods important).Those doing the maintenance must be fully aware of the location of workmates at all times - DON'T proceed till everyone is in theclear!Use hold card on machines.If outside mechanic on job, he should only be helped by nominated person within the crew.",,Eliminate,
28,Machine Maintenance,Oil,"Collect all oils, fuel in containers.
Clean up spillage on machine walkways, steps, rails etc.
Do not remove hydraulic fittings unless engine is turned off and hydraulic tank pressure lowered.",,Eliminate,
43,Machine Maintenance,Raised equipment,"Lower all raised equipment to the ground or block safely.
Turn machines off - ISOLATE machines!
Park machines in clear, flat area away from working operation.
Check park brakes are on or block machine.",,Eliminate,
506,Machinery and Vehicle Hazards,Back strain,"Be aware that back strain is a common problem with operators. Always use correct work methods – your back is not a crane. Use
ergonomically designed seats. Take regular rest breaks and employ job rotation if possible. If you develop discomfort in your back,
notify the appropriate working director and see your doctor.",,Minimise,
537,Machinery and Vehicle Hazards,Bell ergonomic hazards,"Bells are ergonomically very taxing on the operator and the sitting position is not comfortable for long periods of time. They also hot
and noisy. Have regular breaks, at least every hour try to get out of the machine. Wear hearing protection. Job rotation. Operators
to ensure that they have adequate training.",,Minimise,
519,Machinery and Vehicle Hazards,Carrying loose tools etc in a machines cab,"Any equipment, which is not tied down or fitted to the cab of a machine, is hazardous to the operator. Don’t carry anything that it
likely to be hazardous to the operator. Secure all objects that need to be in the cab.",,Eliminate,
513,Machinery and Vehicle Hazards,Compressed air,"Always be aware of the stored energy in air systems. Always turn off air supply and drain the air tank(s) before carrying out any
maintenance.",,Eliminate,
515,Machinery and Vehicle Hazards,Cramped working conditions,"Conditions in a block can sometimes be difficult therefore good planning and communication is essential. Always ensure that there is
in place an effective communication system which is understood by all persons.",,Minimise,
531,Machinery and Vehicle Hazards,Ergonomic hazards,"Machinery can be ergonomically very taxing on the operator and the sitting position may not be comfortable for long period of time.
Have regular breaks, at least every hour get out of the machine. Wearing hearing protection, were necessary. Job rotation.
Operators to ensure that they have adequate fluid intake.",,Minimise,
536,Machinery and Vehicle Hazards,Excavators,"The wing area is the danger zone. Do not enter this area. If you need to enter this area always ensure that eye or radio contact has
been made with the operator before moving into an area or approaching the machine. Only enter the work area when the operator
has given consent. Be aware that the right hand side of the machine is the blind side for the operator.",,Isolate,
514,Machinery and Vehicle Hazards,Fire risk and prevention,"Machine fires can be very hazardous. Always ensure that all fire equipment is in good working order. Fix any fuel or oil leaks and
regularly wash down machines. Regularly check machine cavities to ensure that they are free from debris. Keep well clear of a
burning machine, unless absolutely necessary. Ensure machine shutdown and fire watch at the end of a shift.",,Minimise,
505,Machinery and Vehicle Hazards,General,"Ensure your machine, vehicle, equipment etc is kept serviceable, correctly maintained and that daily pre-start up checks are carriedout. Machinery, vehicles or equipment shall not be cleaned while in motion. Seat belt to be worn, and all doors fitted to vehicles andmachinery are to be kept closed while the vehicle or machine is in operation, unless it is safe to be open e.g. loader on landing.Mechanically propelled machines, vehicles or equipment shall not be left running while unattended. Whenever servicing or repairingany plant, keys are to be removed or plant disabled e.g. battery disconnected.",,Eliminate,
508,Machinery and Vehicle Hazards,"Hose, dust and noise","Where necessary, wear earmuffs and/or a facemask. Have regular breaks and ensure adequate fluid intake.",,Minimise,
516,Machinery and Vehicle Hazards,Hydraulic and equipment failure,"Always prop up a raised piece of machinery when working underneath it. Always prop up or secure rams and parts that could drop
or fall during repairs. Never work on or around hydraulics that are under pressure, always shut off the engine and release the
hydraulic tank pressure first. Regularly check and maintain your hydraulic gear.",,Eliminate,
524,Machinery and Vehicle Hazards,"Interaction machine/machine, machines/people","Machines/Vehicles working together on a site are obvious hazards to each other, there is not much space, and often themachines/vehicles have limited vision. Establish simple, clear systems and signals that enable adequate communication. Be awareof each other and where everyone is ensuring that the windows and mirrors are kept clean. Be aware that visibility from a machinecan be limited. Ensure you have operator’s attention before approaching. Ensure all persons and machines/vehicles are clear of thelogs you are moving before proceeding. Stand clear of the logs a machine/vehicle is moving, plus those logs which may move as aresult of nearby logs being moved. Ensure all equipment is lowered to the ground and in a safe position before carrying out serviceor maintenance. Ensure other people coming to watch a machine/vehicle are well supervised and kept well away from themachine/vehicle.",,Isolate,
512,Machinery and Vehicle Hazards,Jump starting machinery or vehicles,"Jump starting of machinery of vehicles needs to be between machines or vehicles of the same voltage and polarity. Read operators
manual. Check leads are on correct terminals. Be careful.",,Eliminate,
507,Machinery and Vehicle Hazards,Leaking exhaust,Keep the exhaust system well maintained.,,Eliminate,
527,Machinery and Vehicle Hazards,Machine over balancing,Don’t overload. Have adequate training. Wear a seat belt. Operate the machine within the conditions and your level of skill.,,Minimise,
532,Machinery and Vehicle Hazards,Machine stability,"Forest machines are normally stable machines, however they will still tip over if the terrain is difficult and/or they are badly operated.Ensure the operator receives adequate instruction for the machine and the conditions. Drive to the conditions. Drive within your ownlevel of training and skill. Drive within the machine’s operating limits. Walk the area first to be sure about obstacles and terrain.Carefully plan extraction routes in difficult terrain. Wear a seat belt. Use tracking on steeper slopes. The best protection for roll overis to prevent it happening.",,Minimise,
534,Machinery and Vehicle Hazards,Machines travelling on roads and downhill,"Travel at the appropriate speed and in the correct gear for the road and ground conditions. Keep machine in gear at all times.
Maintain engine revs for steering control. Use correct brake pedal for road braking (e.g. wheel loader). Wear the seat belt. Lights to
be on at all times while travelling on roads.",,Minimise,
523,Machinery and Vehicle Hazards,Machines travelling through a block,"Be aware of the capabilities of the relevant machine with respect to the terrain and conditions. Be alert for large slash/windows,loose rock, stumps, holes, side slopes, crossing water, table drains, overhead hazards (power lines), general slope, and wet and/orsoft ground. Where appropriate fit chains for added flotation and stability. Do not exceed the safe speed for the relevant conditions.Do not overload forwarders. Were fitted, ensure machine braking system is well maintained. Never operate a machine beyond yourlevel of skill or the level at which you have been trained.",,Eliminate,
535,Machinery and Vehicle Hazards,Material falling from machinery/plant,"Always ensure bystanders, other workers and machinery is at a safe distance while lifting logs or equipment or felling trees. Do not
approach, harvesters, manual fallers, forwarders, loaders etc, while they are in operation. Where two-way radios are fitted keep in
contact with the operator.",,Isolate,
520,Machinery and Vehicle Hazards,Mounting/ Dismounting machines/vehicles,"The presence of objects, oil, or oil and water on steps, grouses or access ways is very hazardous. Ensure machine is stationary,
with blade or attachments etc (where fitted) on the ground, brakes on. Do not “leap” at or off a machine/vehicle, do not hurry. Keep
steps and access point free from objects or oil. Keep steps in good condition, report any defects. Ensure that non-slip footwear of
good condition is worn.",,Eliminate,
538,Machinery and Vehicle Hazards,New machine operators,"New operators can require larger working areas for different procedures/plans to existing ones. Make sure all concerned are
adequately briefed as required.",,Minimise,
518,Machinery and Vehicle Hazards,Operators limited vision,"Dirty windows and mirrors create additional hazards for the operator and all other persons near the machine. Ensure that all
windows and mirrors are kept as clean as possible while machine is in operation. Replace or repair if damaged.",,Eliminate,
517,Machinery and Vehicle Hazards,Parking of machinery & vehicles – end of shift,"Avoid parking in slopes. Park on stable ground, clear of any area used by other machines or vehicles. Where fitted, all attachments
either lowered to the ground or deck. Brakes on and ignition key off, or brakes on, ignition key removed and master switch off.
Fuelled/oiled and greased. Report any defects, mechanical problems or concerns.",,Eliminate,
522,Machinery and Vehicle Hazards,Poor lighting,"Where machines are operated during the hours of darkness ensure that each machine has sufficient lights that will effectively light
the area being worked. Report all defects with lights to the person in charge.",,Eliminate,
533,Machinery and Vehicle Hazards,Safe operation of vehicles and machinery,"Before driving any vehicle or operating any machinery, propelled machinery, ensure that there are no hidden obstructions before
moving off and that the vehicle or machine is in a safe operating condition.",,Eliminate,
509,Machinery and Vehicle Hazards,"Sharp surfaces, delimbing, knives etc","Wear gloves where possible. Cover sharp surfaces e.g. delimbing knives, measuring wheels etc, when working in the close vicinity.
Use the correct tools for sharpening.",,Minimise,
521,Machinery and Vehicle Hazards,Shifting machinery,"Soft roads, tight corners and road gradients can be hazardous for machine operators and other road users. Check the route well
before shifting. Only use trained operators. Notify the person in charge of any hazards or potential hazards. When necessary use a
pilot vehicle.",,Eliminate,
529,Machinery and Vehicle Hazards,Slippery conditions,"Where practicable, fit chains to rubber-tyre machines. Stop if conditions become too difficult, or work in another area.",,Minimise,
528,Machinery and Vehicle Hazards,Unstable loss in grab/apple,"Hold logs at balance point. Work a system, which keeps the machine away from other people or machinery.",,Isolate,
530,Machinery and Vehicle Hazards,Unstable stacks,"Stack carefully and tidily. Do not put untrimmed logs into stacks, leave logs to be trimmed on ground and stack after trimming. Do
not walk on high or unstable stacks.",,Eliminate,
511,Machinery and Vehicle Hazards,Using water blaster for machine maintenance,Ensure adequate training for workers. Be aware of the dangers of high pressure water. Wear eye protection.,,Minimise,
510,Machinery and Vehicle Hazards,"Welding, cutting and grinding equipment","Try to keep the work area on bare ground. Wear correct eye protection. Keep any fuel or containers well away. Ensure that
adequate fire fighting gear is available and in good condition. If necessary, have an observer on the job.",,Minimise,
525,Machinery and Vehicle Hazards,Work or maintenance outside machine cab,"A machine operator when outside of a machine cab in a working area can easily be in a hazardous situation – especially whencarrying out chain replacement, greasing, refuelling, mechanical repairs (in the field with limited tools/equipment etc). Ensure thatthere is in place a good simple communication system and ensure that they are used before leaving the cab. Leave a door open asan indicator that you are temporarily out of the cab. Always be aware of each other and where everyone is. Always be aware ofslippery and/or unstable logs. Always ensure that the appropriate footwear and protective clothing is worn when outside of the cabof a machine, steel capped boots, and high visibility clothing and a hard hat are mandatory elements. Ensure machine is completelyshut down and attachments lowered to the ground before carrying out any maintenance or repairs. Remember to be mindful ofinsects (especially bees or wasps for those with allergic reactions).",,Eliminate,
526,Machinery and Vehicle Hazards,Working machines at night,"The hours of darkness create additional hazards. Always ensure that the machine has adequate lighting to sufficiently light up the
working area. Replace any blown lights. If the lights are poor, or become poor, stop work and notify the person in charge
immediately. Maintain contact with your base station/other person. Ensure that there is sufficient tracking and or tree marking where
necessary.",,Eliminate,
542,Mechanical Fell/Processing Hazards,Felling and processing,"Before starting work check the area to be felled and set a work plan. Large trees should be left for subsequent hand felling. Leaning
trees to be felled with care to ensure control of the felling is maintained. If in doubt fell to the predominant lean of the tree. Be alert
for broken tops and falling debris. Never attempt to fall a tree or enter an area that you are not confident you can do safely.",,Eliminate,
544,Mechanical Fell/Processing Hazards,Hydraulic and equipment failure/repair,"Always prop up a raised piece of machinery when working underneath it. Lower head on ground, to other suitable stable material, ina safe position before carrying out any service or repairs. Extra care is needed when two or more people are carrying outmaintenance or repairs at the same time. Always use the lock pin when servicing or carrying out repairs. Never work on or aroundhydraulics when they are under pressure. Regularly check and maintain your hydraulic gear. Always apply the machines brakes,where fitted.",,Eliminate,
539,Mechanical Fell/Processing Hazards,"Interaction machine/machine, machines/people","Machines working together on a site are obvious hazards to each other, there is not much space, and often the machines havelimited vision. Put in place good simple and effective systems and signals and wear 2-way radios are fitted in contact with otheroperators. Put in place good simple and effective systems and signals and wear 2-way radios are fitted in contact with otheroperators. Be aware of each other and where everyone is. Wear a seat belt. Make sure you have the operator’s attention beforeapproaching. Fit mirrors and ensure that the windows and mirrors are kept clean. Ensure all crew members and machines are clearof the logs you are moving before proceeding. Stand clear of the logs if a machine is moving, plus those logs which may move as aresult of nearby logs being moved.",,Isolate,
540,Mechanical Fell/Processing Hazards,Machine operation and stability,"Make sure you don’t push the machine beyond its capabilities and or the ground conditions, if it becomes too steep stop. Operate
the machine within your own level of training and skill. Wear the seat belt. Avoid driving over stumps, under-runners, rocks, etc.
Ensure all equipment is lowered to the ground and in a safe position before carrying out service or maintenance. Ensure that all
persons and other machinery are outside the working area needed.",,Minimise,
541,Mechanical Fell/Processing Hazards,Material falling from machinery/plant,"Always ensure bystanders, other workers and machinery is at a safe distance while lifting logs or equipment or felling trees. Do not
approach harvesters, manual fallers, forwarders, loaders etc while they are in operation. Where 2-way radios are fitted keep in
contact with the operator.",,Isolate,
543,Mechanical Fell/Processing Hazards,"Sharp surfaces, delimbing knives, etc","Wear gloves where possible. Cover sharp surfaces e.g. delimbing knives, measuring wheels etc, when working in the close vicinity.
Use the correct tools for sharpening. Ensure all equipment is lowered to the ground and in a safe position before carrying out any
service or repairs.",,Minimise,
56,Metal Spreading With Trucks,Truck or trailer roll over,"Never spread downhill.Be aware of clay based rock products that can bind up in the tray and hang up, overbalancing the load.If in doubt stockpile metal and reload and spread with truck.Always be ready to lower the truck deck.Watch out for steerers lifting when spreading uphill as this will result in a lack of control.",,Eliminate,
314,Office,Emergency Exits Obstructed,"Keep all exits clear of office furniture, power cords, and other items that may impede immediate access in case of an emergency.
Keep well marked as an exit and ensure that all employees know of the exits location in case of an emergency.",,Eliminate,
318,Office,Fire,"Know the fire plan and location of fire alarms and extinguishers (out in the hall). Note location of both fire exits. Don't use lift in event
of a fire.",,Minimise,
313,Office,Items dropping from above,"Secure all high articles to ensure that they are restrained and will not fall on to people below. Properly attach shelves to walls to
ensure they do not pose a hazard in an earthquake.",,Eliminate,
312,Office,Loose cords and equipment,Ensure that all equipment at ground level is kept contained away from access routes or clearly marked as a hazard.,,Eliminate,
316,Office,Noise,Keep windows closed where possible to keep noise levels down. Noise can cause tension and stress.,,Minimise,
315,Office,OOS,"Maintain correct work posture, have micro pauses and rest breaks. Insure work station is set up for the user. Job rotation where
needed. Insure good ventilation and lighting in office.",,Eliminate,
570,Office,Noise from outside activity,"Close windows, consider temporary use of a meeting room.",,,
571,Office,Noisy activities,Schedule at times when they impact the least on other activities in the office - check with PF Olsen,,Minimise,
